DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,ARTIGO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,7,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,8,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,9,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,11,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,12,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,13,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,14,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,15,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,16,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,17,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,18,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,19,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,20,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,21,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,22,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,23,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,24,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,25,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,26,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,27,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,28,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,29,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,30,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,31,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,32,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,33,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,34,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,35,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,36,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,37,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicado entre os anos de 1977 a 1979.","",,38,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,39,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,40,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,41,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,42,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,43,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,44,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,45,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,46,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,47,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,48,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,49,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,50,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,51,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,52,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,53,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,54,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,55,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,56,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,57,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,58,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,59,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,60,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,61,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,62,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,63,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,64,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,65,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,66,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,67,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,68,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,69,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,70,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,71,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,72,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,73,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,74,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,75,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,76,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,77,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,78,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,79,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,80,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,81,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,82,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,83,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,84,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,85,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,86,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,87,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,88,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,89,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,90,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,91,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,92,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,93,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,94,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,95,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,96,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,97,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,98,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,99,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,100,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,101,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,102,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,103,,,,,,,,,,,,,,,,
"O artigo, de responsabilidade da autora, faz parte da coluna Repertório de Hoje, do Jornal da Tarde, publicada entre os anos de 1977 a 1979.","",,104,,,,,,,,,,,,,,,,
"foram publicadas neste Cd as seguintes obras: Trem-pássaro(1993); Um dia feito d'água(1993); Vozes da Cidade(1993); Infobodies(1999);
Par Lui2(2001)
DNS001","",,,0,,,,,,,,,,,,,,,
"O Cd foi gravado pelo Coro de Cãmara Ars Antiqua sob regência de Stefan Claas, de Aschaffenburg, Alemanha. A obra é para coro a capela a 16 vozes, com trechos dos Salmos bíblicos e tem duração de 8min09seg, composta em 1999.
CD160303","",,,1,,,,,,,,,,,,,,,
"Cd brasil! new music volume 4 - Grupo Novo Horizonte de São Paulo - regencia de Graham Griffiths","",,,2,,,,,,,,,,,,,,,
"A obra da autora publicada neste CD é Tem-pássaro, composta em 1993, música eletroacústica para suporte fixo","",,,3,,,,,,,,,,,,,,,
"O Cd tem as seguintes obras de Denise Garcia para coro a capela: Deus (texto de Santo Agostinho), Aeterna Christi (texto de Santo Ambrósio), Pulcritudo (texto de Santo Agostinho), Aeterna Moteto, Alleluja. A regência do coro foi feita pelo Maestro Carlos Fiorini, com o coro formado para apresentação do espetáculo teatral. Os poemas de Hilda Hilst são interpretado pelo ator carlos Simioni.","",,,4,,,,,,,,,,,,,,,
"A "Coletanea de Música Eletroacústica Brasileira" é uma publicação da Sociedade Brasileira de Música Eletroacústica com apoio da Petrobrás. É composta de 10 CDs, incluindo obras dos mais representativos compositores de Música Eletroacústica no Brasil.","",,,5,,,,,,,,,,,,,,,
"As resenhas, de responsabilidade da autora, fazem parte dos concertos das temporadas de 1988 e 1989, da Série Continental 2001, realizados no Teatro Cultura Artística (São Paulo - SP).","",,,6,,,,,,,,,,,,,,,
"As resenhas, de responsabilidade da autora, fazem parte dos concertos das temporadas de 1988 e 1989, da Série Continental 2001, realizados no Teatro Cultura Artística (São Paulo - SP).","",,,7,,,,,,,,,,,,,,,
"Cd Música Eletroacústica Brasileira Vol1 - Sociedade Brasileira de mùsica Eletroacústica CD SBME001","",,,8,,,,,,,,,,,,,,,
"A Comunicação teve como fim apresentar tecnica composicional e resultado da obra.","",,,,4,,,,,,,,,,,,,,
"palestra","",,,,15,,,,,,,,,,,,,,
"O presente artigo trata da pesquisa e composição da música para a peça teatral "Kelbilim o cão da Divindade", produzida em 1989 e retomada em 2005 em comemoração aos 20 anos do Núcleo Interdisciplinar de Pesquisas Teatrias LUME/UNICAMP.","",,,,18,,,,,,,,,,,,,,
"O presente artigo trata de um primeiro resultado parcial dos projetos "Faces da música eletroacústica brasileira: o Grupo Música Nova e seu pioneirismo na utilização de recursos tecnológicos" e "Recuperação, produção e restauro das partes eletroacústicas das obras mistas de Gilberto Mendes", o segundo integrado ao primeiro e ambos apoiados pela FAPESP. Tem como objetivo o estudo e recuperação das obras dos compositores paulistas signatários do Manifesto Música Nova que utilizam pioneiramente equipamentos tecnológicos. O presente artigo traz o resultado do estudo e versão tecnológica atualizada da obra Cidade (1964) de Gilberto Mendes.","",,,,19,,,,,,,,,,,,,,
"A comunicação foi parte de mesa redonda 'Música e Arquivo' do Seminário Poéticas do Inventário que ocorreu no dia 30 de maio de 2006. Outros palestrantes da mesa foram: Priof. Dr. Daniel Teruggi (INA/GRM Paris), Prof. José Augusto Mannis (Unicamp), Prof. Dr Silvio Ferraz (Unicamp).","",,,,20,,,,,,,,,,,,,,
"A mesa foi composta pelos Professores Doutores Rodolfo Coelho de Souza (USP), Denise H. L. Garcia (UNICAMP) e José Augusto Mannis (UNICAMP)","",,,,25,,,,,,,,,,,,,,
"O título da palestra é "Breves apontamentos sobre a composição musical brasileira subvencionada - observações pontuais no Estado de São Paulo"","",,,,26,,,,,,,,,,,,,,
"Orientadora do trabalho "Movimento Da Música Música Do Movimento: Um Estudo Da Relação Estrutural Entre Composição Musical E Construção Coreográfica" apresentada por Calima Torino Jabur","",,,,33,,,,,,,,,,,,,,
"Palestra ministrada no Departamento de Artes Corporais para os alunos de graduação em dança.","",,,,36,,,,,,,,,,,,,,
"Responsável pela disciplina: Prof. Dra. Lúcia Santaella","",,,,37,,,,,,,,,,,,,,
"Curso para professores de artes da rede de escolas municipais.","",,,,,3,,,,,,,,,,,,,
"Curso para profissionais da dança","",,,,,4,,,,,,,,,,,,,
"Seminário ministrado no âmbito do curso Pós-Graduação em Música da Escola de Música da UFMG.","",,,,,5,,,,,,,,,,,,,
"Palestra organizada associada ao Centro de Documentação em Música Contemporânea e Programa de Pós-Graduação em Música - IA/UNICAMP","",,,,,,4,,,,,,,,,,,,
"Participou como organizadora do evento realizado no Depto. de Música do Instituto de Artes da Unicamp.","",,,,,,7,,,,,,,,,,,,
"O Grupo Paralax é um projeto pedagógico coordenado pela Profa. Dra. Denise Garcia no qual alunos de graduação em música interpretam obras de música de concerto do repertório brasileiro contemporâneo. O projeto vem se desenvolvendo desde o ano de 2005.","",,,,,,8,,,,,,,,,,,,
"O Projeto Panorama da Música Brasileira é uma série de 7 concertos mensais de março a outubro de 2011 pelo CIDDIC/UNICAMP com parceria como o SESC-Campinas que divulga e homenageia a músca de concerto brasileira do século XX e XXI com a presença e palestra dos compositores. Cada concerto teve duas récitas, uma no campus universitário (Casa do Lago) e uma no auditório do SESC Campinas. Cada concerto homenageia um a dois compositores; Foram homenageados em 2011: Mario Ficarelli, Eduardo Escalante, Ricardo Tacuchian, Maria Helena Rosa Fernandes, Osvaldo Lacerda, Ernst Mahle, Edmundo Villani Cortes, Raul do Valle e Willy Correa de Oliveira, Gilberto Mendes, Aylton Escobar e Almeida Prado. As obras foram interpretadas pelos integrantes da Orquestra Sinfônica da Unicamp e convidados, sob regência de Simone Menezes. Concepção, projeto, organização de Denise Garcia. Produção CIDDIC/UNICAMP.","",,,,,,9,,,,,,,,,,,,
"Quinta do Vídeo ? mostra semanal de vídeos de dança com a participação de
especialistas - segundo semestre. Departamento de Artes Corporais, I.A.
UNICAMP","",,,,,,10,,,,,,,,,,,,
"Direção musical de espetáculo","",,,,,,11,,,,,,,,,,,,
"Coordenadora do projeto - Desenvolvimento Da Musicalidade Do Ator","",,,,,,12,,,,,,,,,,,,
"Curso ministrado para alunos de pós-graduação em música da UNICAMP com carga horária de 15h.O compositor italiano Aldo Brizzi, especialista na obra de Giacinto Scelsi ministrou parcialmente a disciplina Tópicos Especiais em Música, posteriormente complementada pela prof. Dra. Maria Lúcia Pascoal. 27/11 a 30/11.","",,,,,,13,,,,,,,,,,,,
"O Seminário foi ministrado pela Profa. Dra. Rosangela Tugny da UFMG e teve duração de 5 dias e carga horária de 20 horas.","",,,,,,14,,,,,,,,,,,,
"Participou da organização da palestra do professor convidado Jean-Ives Bosseur no Depto. de música do Instituto de Artes da UNICAMP no dia 06/11/2001","",,,,,,15,,,,,,,,,,,,
"O Grupo Paralax era integrado por compositores e intérpretes alunos da graduação do Instituto de Artes da Unicamp, com o objetivo de difundir o repertório musical contemporâneo para conjunto de câmara.","",,,,,,16,,,,,,,,,,,,
"O espetáculo mistura música sinfônica com cenas cômicas, e consiste em uma parceria entre a orquestra sinfônica da Unicamp e o LUME Teatro.","",,,,,,17,,,,,,,,,,,,
"Denise Garcia foi coordenadora científica do XVII Congresso da Anppom","",,,,,,19,,,,,,,,,,,,
"O Fórum de Arte, Cultura e Lazer visa atualizar representantes culturais vinculados a orquestras sinfônicas propondo discussões sobre questões de planejamento artístico e administrativo, bem como os novos papéis destas instituições na sociedade atual.","",,,,,,20,,,,,,,,,,,,
"Esse foi o primeiro de uma série de três programas "Eleltroacústicas" dedicada à compositora Denise Garcia e seu Cd "A Casa do Poeta". Programa idealizado pelo compositor Rodrigo Cichelli. Além de trechos da entrevista com a autora, foram difundidas as obras 'Vozes da Cidade' e 'Trem-pássaro'","",,,,,,,0,,,,,,,,,,,
